star,,,,,,,,
transform,,,,,,,,
rotation,xyAnchorPoint,anchorPoint,keepProportions,scaleStrokes,changeStrokePattern,changeLineWidths,changeFillPatterns,transformObjects:true
10,TOPLEFT,,TRUE,TRUE,TRUE,TRUE,TRUE,
10,TOP,,TRUE,TRUE,TRUE,TRUE,TRUE,
10,TOPRIGHT,,TRUE,TRUE,TRUE,TRUE,TRUE,
10,LEFT,,TRUE,TRUE,TRUE,TRUE,TRUE,
10,CENTER,,TRUE,TRUE,TRUE,TRUE,TRUE,
10,RIGHT,,TRUE,TRUE,TRUE,TRUE,TRUE,
10,BOTTOMLEFT,,TRUE,TRUE,TRUE,TRUE,TRUE,
10,BOTTOM,,TRUE,TRUE,TRUE,TRUE,TRUE,
10,BOTTOMRIGHT,,TRUE,TRUE,TRUE,TRUE,TRUE,
10,,TOPLEFT,FALSE,FALSE,FALSE,FALSE,FALSE,
10,,TOP,FALSE,FALSE,FALSE,FALSE,FALSE,
10,,TOPRIGHT,FALSE,FALSE,FALSE,FALSE,FALSE,
10,,LEFT,FALSE,FALSE,FALSE,FALSE,FALSE,
10,,CENTER,FALSE,FALSE,FALSE,FALSE,FALSE,
10,,RIGHT,FALSE,FALSE,FALSE,FALSE,FALSE,
10,,BOTTOMLEFT,FALSE,FALSE,FALSE,FALSE,FALSE,
10,,BOTTOM,FALSE,FALSE,FALSE,FALSE,FALSE,
10,,BOTTOMRIGHT,FALSE,FALSE,FALSE,FALSE,FALSE,
