star,,,,,,
transform,,,,,,
rotation,angle,anchorPoint,changeStrokePattern,changeLineWidths,changeFillPatterns,transformObjects:true
,,,,,,
72,,TOPLEFT,TRUE,TRUE,TRUE,
72,,CENTER,TRUE,TRUE,TRUE,
72,,TOPLEFT,FALSE,FALSE,FALSE,
72,,CENTER,FALSE,FALSE,FALSE,
72,,TOPLEFT,TRUE,TRUE,TRUE,FALSE
72,,CENTER,TRUE,TRUE,TRUE,FALSE
,72,TOPLEFT,TRUE,TRUE,TRUE,
,72,CENTER,TRUE,TRUE,TRUE,
,72,TOPLEFT,FALSE,FALSE,FALSE,
,72,CENTER,FALSE,FALSE,FALSE,
,72,TOPLEFT,TRUE,TRUE,TRUE,FALSE
,72,CENTER,TRUE,TRUE,TRUE,FALSE
